context_3,context_2,context_1,response
Напишешь мне ты здесь вроде одекватная,"Я? Адекватная ?
😹😹😹😹😹😹😹😹😹😹😹😹😹😹😹😹😹😹😹😹😹😹😹😹😹😹😹😹😹😹😹😹😹😹😹😹😹😹😹😹😹😹😹😹😹😹😹😹😹😹😹😹😹😹😹😹",Он просто путает,А ты ?
"Я? Адекватная ?
😹😹😹😹😹😹😹😹😹😹😹😹😹😹😹😹😹😹😹😹😹😹😹😹😹😹😹😹😹😹😹😹😹😹😹😹😹😹😹😹😹😹😹😹😹😹😹😹😹😹😹😹😹😹😹😹",Он просто путает,А ты ?,Я... Пытаюсь
,,,"Оу. И правда, ну, стоит наверное подумать, ахаха"
,,"Оу. И правда, ну, стоит наверное подумать, ахаха","Не думай , голова будет болеть."
,"Оу. И правда, ну, стоит наверное подумать, ахаха","Не думай , голова будет болеть.",Ты когда спать?
"Оу. И правда, ну, стоит наверное подумать, ахаха","Не думай , голова будет болеть.",Ты когда спать?,А что ?
"Не думай , голова будет болеть.",Ты когда спать?,А что ?,Да так просто.
,,,Тот же вопрос
,,,Ты так и не легла?
,,Ты так и не легла?,Неа. Чай выпила. Сейчас ещё раз температуру померю
,Ты так и не легла?,Неа. Чай выпила. Сейчас ещё раз температуру померю,Жаропонижающее не пила?
Ты так и не легла?,Неа. Чай выпила. Сейчас ещё раз температуру померю,Жаропонижающее не пила?,У меня 37.6. сбивать низзя (
Неа. Чай выпила. Сейчас ещё раз температуру померю,Жаропонижающее не пила?,У меня 37.6. сбивать низзя (,Ну да(
,,,"Ржу
😹😹😹😹"
,,,Картина маслом 😀
,,Картина маслом 😀,Чо там закрыла ?)
,Картина маслом 😀,Чо там закрыла ?),"18 см как раз 
Сегодня с друзьями прикалывались, хуи пинали"
Картина маслом 😀,Чо там закрыла ?),"18 см как раз 
Сегодня с друзьями прикалывались, хуи пинали","Мне от игрушек никуда не дется, и на работе перед глазами и тут😂"
Чо там закрыла ?),"18 см как раз 
Сегодня с друзьями прикалывались, хуи пинали","Мне от игрушек никуда не дется, и на работе перед глазами и тут😂","Хуевые у вас игрушки, хаха"
"18 см как раз 
Сегодня с друзьями прикалывались, хуи пинали","Мне от игрушек никуда не дется, и на работе перед глазами и тут😂","Хуевые у вас игрушки, хаха",За то можно на хуй посылать покупателей😂
"Мне от игрушек никуда не дется, и на работе перед глазами и тут😂","Хуевые у вас игрушки, хаха",За то можно на хуй посылать покупателей😂,Спасибо за покупку и идите нахуй😀
"Хуевые у вас игрушки, хаха",За то можно на хуй посылать покупателей😂,Спасибо за покупку и идите нахуй😀,Точно😂😂😂
,,,Не путаешь берега ?)
,,Не путаешь берега ?),"Ну вообще то, я знаю, на какой берег я шел купаться"
,Не путаешь берега ?),"Ну вообще то, я знаю, на какой берег я шел купаться",Ахахах а. 😹😹😹😹😹
Не путаешь берега ?),"Ну вообще то, я знаю, на какой берег я шел купаться",Ахахах а. 😹😹😹😹😹,Да тут море прям рядом
"Ну вообще то, я знаю, на какой берег я шел купаться",Ахахах а. 😹😹😹😹😹,Да тут море прям рядом,Какое ?
Ахахах а. 😹😹😹😹😹,Да тут море прям рядом,Какое ?,Каспийское
Да тут море прям рядом,Какое ?,Каспийское,Заебись тебе .
Какое ?,Каспийское,Заебись тебе .,Да. Кайф вообще. Можешь приезжать. Провожу
Каспийское,Заебись тебе .,Да. Кайф вообще. Можешь приезжать. Провожу,"Не , мне и тут хорошо .
Я не выездная."
Заебись тебе .,Да. Кайф вообще. Можешь приезжать. Провожу,"Не , мне и тут хорошо .
Я не выездная.",Ммм. Ясно. Ну ладно.
Да. Кайф вообще. Можешь приезжать. Провожу,"Не , мне и тут хорошо .
Я не выездная.",Ммм. Ясно. Ну ладно.,)))
"Не , мне и тут хорошо .
Я не выездная.",Ммм. Ясно. Ну ладно.,))),Спокойной ночи. Хотя уже утро настигает.  Было приятно пообщаться.
Ммм. Ясно. Ну ладно.,))),Спокойной ночи. Хотя уже утро настигает.  Было приятно пообщаться.,Бомбалэйло
))),Спокойной ночи. Хотя уже утро настигает.  Было приятно пообщаться.,Бомбалэйло,Повторим если что
Спокойной ночи. Хотя уже утро настигает.  Было приятно пообщаться.,Бомбалэйло,Повторим если что,Нэт .
Бомбалэйло,Повторим если что,Нэт .,Обидно
Повторим если что,Нэт .,Обидно,Не плакай
Нэт .,Обидно,Не плакай,Уже
Обидно,Не плакай,Уже,Ты мужик или тряпка?
Не плакай,Уже,Ты мужик или тряпка?,Ой. Первое конечно
Уже,Ты мужик или тряпка?,Ой. Первое конечно,Збс .
Ты мужик или тряпка?,Ой. Первое конечно,Збс .,"Ну, женщины тоже как бы слабость. Ахаха"
Ой. Первое конечно,Збс .,"Ну, женщины тоже как бы слабость. Ахаха","Мне не интересно. 
Я не спрашивала у тебя про твою слабость ."
Збс .,"Ну, женщины тоже как бы слабость. Ахаха","Мне не интересно. 
Я не спрашивала у тебя про твою слабость .",Я вообще то в целом а не про себя. Фильмы не смотрела? Книги не читала? Не говорили?
"Ну, женщины тоже как бы слабость. Ахаха","Мне не интересно. 
Я не спрашивала у тебя про твою слабость .",Я вообще то в целом а не про себя. Фильмы не смотрела? Книги не читала? Не говорили?,"Фильмы смотрю редко .
Книги читаю .
Тебе тоже советую ."
"Мне не интересно. 
Я не спрашивала у тебя про твою слабость .",Я вообще то в целом а не про себя. Фильмы не смотрела? Книги не читала? Не говорили?,"Фильмы смотрю редко .
Книги читаю .
Тебе тоже советую .","А. Вот как, ладно. Интересно, что я не так понимаю"
Я вообще то в целом а не про себя. Фильмы не смотрела? Книги не читала? Не говорили?,"Фильмы смотрю редко .
Книги читаю .
Тебе тоже советую .","А. Вот как, ладно. Интересно, что я не так понимаю",Меня не поймёте.
"Фильмы смотрю редко .
Книги читаю .
Тебе тоже советую .","А. Вот как, ладно. Интересно, что я не так понимаю",Меня не поймёте.,Вот уже интереснее с этого момента
"А. Вот как, ладно. Интересно, что я не так понимаю",Меня не поймёте.,Вот уже интереснее с этого момента,Пока.
Меня не поймёте.,Вот уже интереснее с этого момента,Пока.,Ладно :(
,,,Думаешь я бы по своей воле проснулся в 4 утра?!
,,Думаешь я бы по своей воле проснулся в 4 утра?!,Хто тебя знает? Может дама сердца в Австралии живёт и только так пообщаться можно
,Думаешь я бы по своей воле проснулся в 4 утра?!,Хто тебя знает? Может дама сердца в Австралии живёт и только так пообщаться можно,"Да ну её нахрен тогда….
Я лучше посплю"
Думаешь я бы по своей воле проснулся в 4 утра?!,Хто тебя знает? Может дама сердца в Австралии живёт и только так пообщаться можно,"Да ну её нахрен тогда….
Я лучше посплю",😂😂😂
,,,Блэт .
,,Блэт .,
,,,😂😂😂
,,,"Кстати акуенная игрушка .
Удобно садиться .
А без смеха и мужика не надо"
,,"Кстати акуенная игрушка .
Удобно садиться .
А без смеха и мужика не надо",Я с этой штукой можно вообще вычёркивать мужчин из своей жизни 😀😂😂
,"Кстати акуенная игрушка .
Удобно садиться .
А без смеха и мужика не надо",Я с этой штукой можно вообще вычёркивать мужчин из своей жизни 😀😂😂,Ты про руку?
"Кстати акуенная игрушка .
Удобно садиться .
А без смеха и мужика не надо",Я с этой штукой можно вообще вычёркивать мужчин из своей жизни 😀😂😂,Ты про руку?,"Наши руки не для скуки, но нет"
Я с этой штукой можно вообще вычёркивать мужчин из своей жизни 😀😂😂,Ты про руку?,"Наши руки не для скуки, но нет",😹😹😹😹
,,,Ладно подрочу в другом месте
,,Ладно подрочу в другом месте,"Выйди пожалуйста. 
Ты на Чикатило похож .
У меня стресс."
,,,Неблогадарные
,,Неблогадарные,"Море по колено.
Плюсую 😹😹😹😹"
,,,Вот мы в поезде ехали)
,,Вот мы в поезде ехали),"Ой, мой пэздюк , так не сможэт😹"
,Вот мы в поезде ехали),"Ой, мой пэздюк , так не сможэт😹",У вас хорошая фигура
Вот мы в поезде ехали),"Ой, мой пэздюк , так не сможэт😹",У вас хорошая фигура,Я знаю .
,,,Удовлетворяет?
,,,Она хоть где-то начинается?
,,Она хоть где-то начинается?,Этот вопрос не мне! Я не эксперт
,Она хоть где-то начинается?,Этот вопрос не мне! Я не эксперт,Такая же фигня….
Она хоть где-то начинается?,Этот вопрос не мне! Я не эксперт,Такая же фигня….,"Но рассказывают, что где-то бывает 😂😂 правда не с моим характером)))"
Этот вопрос не мне! Я не эксперт,Такая же фигня….,"Но рассказывают, что где-то бывает 😂😂 правда не с моим характером)))","Мда…..
Ну…. Может быть… может быть…"
,,,"Блин , как выздороветь до завтра"
,,,"А это он за вагоном смотрел, чтобы порядочно себя вели, проводникам помогал."
,,"А это он за вагоном смотрел, чтобы порядочно себя вели, проводникам помогал.",😹😹😹
,,,✌️✌️
,,✌️✌️,Ты сидел?
,✌️✌️,Ты сидел?,"😹😹😹ахаха , мой всех обоссыт . как и хозяйка"
,,,Ззздарова
,,Ззздарова,Дарова
,Ззздарова,Дарова,Ну как ты дружище?
Ззздарова,Дарова,Ну как ты дружище?,"Отлично все ,ты как?)"
Дарова,Ну как ты дружище?,"Отлично все ,ты как?)","Да тоже, спать собрался, пока ты куда то едешь"
Ну как ты дружище?,"Отлично все ,ты как?)","Да тоже, спать собрался, пока ты куда то едешь",Домой еду)
"Отлично все ,ты как?)","Да тоже, спать собрался, пока ты куда то едешь",Домой еду),Который час?
"Да тоже, спать собрался, пока ты куда то едешь",Домой еду),Который час?,8:22
Домой еду),Который час?,8:22,"Оу, в два раза больше чем у меня"
,,,"Серьёзные парни, однако"
,,,Чо за кент !
,,Чо за кент !,Нормас кент)
,,,Кого мудохать едешь?
,,Кого мудохать едешь?,Домой)
,Кого мудохать едешь?,Домой),Жив? Здоров?
Кого мудохать едешь?,Домой),Жив? Здоров?,"Сегодня опять в ночь,будете опять пеня терпеть"
Домой),Жив? Здоров?,"Сегодня опять в ночь,будете опять пеня терпеть","А я выходная .
Буду тут с вами."
,,,Любите вы умной показаться?
,,Любите вы умной показаться?,"Почему показаться ?
Я 50 /50 и тупая и умная. 
Если книги читают не все .
То это не моя же проблема. 👀"
,Любите вы умной показаться?,"Почему показаться ?
Я 50 /50 и тупая и умная. 
Если книги читают не все .
То это не моя же проблема. 👀","Умный - это тот, кто много читает?"
Любите вы умной показаться?,"Почему показаться ?
Я 50 /50 и тупая и умная. 
Если книги читают не все .
То это не моя же проблема. 👀","Умный - это тот, кто много читает?","Умный это вы наверное .
Но мне не интересно."
"Почему показаться ?
Я 50 /50 и тупая и умная. 
Если книги читают не все .
То это не моя же проблема. 👀","Умный - это тот, кто много читает?","Умный это вы наверное .
Но мне не интересно.",Канешн
,,,"Красная шапка , ты ли это"
,,"Красная шапка , ты ли это",Ахахах красная шляпа
,,,"Ох, я вчера с красными шляпами переборщила"
,,"Ох, я вчера с красными шляпами переборщила",Звучит двояко
,"Ох, я вчера с красными шляпами переборщила",Звучит двояко,
"Ох, я вчера с красными шляпами переборщила",Звучит двояко,,Еьац што это?
Звучит двояко,,Еьац што это?,"Микродозинг, интересная вещь"
,Еьац што это?,"Микродозинг, интересная вещь",Лять хочу микродозинг сативы
Еьац што это?,"Микродозинг, интересная вещь",Лять хочу микродозинг сативы,"Канабиоиды тоже не плохая вещь, но в меру"
"Микродозинг, интересная вещь",Лять хочу микродозинг сативы,"Канабиоиды тоже не плохая вещь, но в меру",Конечно в меру
Лять хочу микродозинг сативы,"Канабиоиды тоже не плохая вещь, но в меру",Конечно в меру,"Просто на постоянной основе это притупляет сознание, но многие этого не замечают"
"Канабиоиды тоже не плохая вещь, но в меру",Конечно в меру,"Просто на постоянной основе это притупляет сознание, но многие этого не замечают","Не ,я раз в пол года"
,,,😹😹😹😹
,,😹😹😹😹,Я свободный пишитье
,,,"Мохнатый, как самочувствие?"
,,"Мохнатый, как самочувствие?",Да в ахуе)
,"Мохнатый, как самочувствие?",Да в ахуе),"Все болеют, бля"
"Мохнатый, как самочувствие?",Да в ахуе),"Все болеют, бля","У меня в пятке трещина😂
И в глазах какая то зараза"
Да в ахуе),"Все болеют, бля","У меня в пятке трещина😂
И в глазах какая то зараза",Ты же глаза начал лечить уже???
"Все болеют, бля","У меня в пятке трещина😂
И в глазах какая то зараза",Ты же глаза начал лечить уже???,Вчера
"У меня в пятке трещина😂
И в глазах какая то зараза",Ты же глаза начал лечить уже???,Вчера,Я глаза отлечила) осталось с температурой разобраться
Ты же глаза начал лечить уже???,Вчера,Я глаза отлечила) осталось с температурой разобраться,Да на температуру похуй
,,,"Бро, ты типа этот - викинг😁"
,,"Бро, ты типа этот - викинг😁",
,"Бро, ты типа этот - викинг😁",,Мне нельзя типа гифки
"Бро, ты типа этот - викинг😁",,Мне нельзя типа гифки,Да я помню)
,,,"Привет, я смотрю у Вас тут снова страсти кипят?"
,,"Привет, я смотрю у Вас тут снова страсти кипят?",Здарова всем
,"Привет, я смотрю у Вас тут снова страсти кипят?",Здарова всем,😂
"Привет, я смотрю у Вас тут снова страсти кипят?",Здарова всем,😂,😑
Здарова всем,😂,😑,О
😂,😑,О,Лучше овердозинг
😑,О,Лучше овердозинг,Так. О чем речь пошла
О,Лучше овердозинг,Так. О чем речь пошла,Бинго))
,,,Мера для слабаков
,,Мера для слабаков,"Не много не люблю,пару дудок и хватит)"
,Мера для слабаков,"Не много не люблю,пару дудок и хватит)","Ну, в целом ее много конечно не бывает)"
,,,О прекрасном.
,,,Щас приеду мазьку вьебу)
,,Щас приеду мазьку вьебу),Эмм...
,Щас приеду мазьку вьебу),Эмм...,В глаз
Щас приеду мазьку вьебу),Эмм...,В глаз,А вы стреляете прямо в глаза .
,,,Caлютик Ищy знaкoмcтв)
,,Caлютик Ищy знaкoмcтв),Покажи пизду.
,Caлютик Ищy знaкoмcтв),Покажи пизду.,О_о
Caлютик Ищy знaкoмcтв),Покажи пизду.,О_о,Волшебное слово услышал😂😂😂
Покажи пизду.,О_о,Волшебное слово услышал😂😂😂,"Следи за ним , а то он как шэльма."
О_о,Волшебное слово услышал😂😂😂,"Следи за ним , а то он как шэльма.",Шлюшка он))
Волшебное слово услышал😂😂😂,"Следи за ним , а то он как шэльма.",Шлюшка он)),"Эх….
Злые вы все….
Уйду я от вас"
"Следи за ним , а то он как шэльма.",Шлюшка он)),"Эх….
Злые вы все….
Уйду я от вас",Куда!! Я не закончила!
,,,А я на выходных в кокосовый рай
,,😂,😹😹
,,,Главное глаза
,,Главное глаза,А чо говорят? Конъюнктивит?
,Главное глаза,А чо говорят? Конъюнктивит?,"Кто говорит,нет не конюктевит вирус"
,,,Это тебе 🌹🌹🌹🌹
,,,Тут только что был кто то красивый
,,Тут только что был кто то красивый,С айфоном
,,,Окуметил прекрасная вещь
,,Окуметил прекрасная вещь,Что это?
,,,??
,,??,Немножко удивлён такими вопросами)))
,??,Немножко удивлён такими вопросами))),"То не вопрос был .
А просьба ."
,,,Не знаю такое
,,Не знаю такое,Капли для глаз
,Не знаю такое,Капли для глаз,Альбуцид и мазьку и все
,,,"Снимают напряжение, раздражение и глаза моментально отбеливаются"
,,"Снимают напряжение, раздражение и глаза моментально отбеливаются",А ты про это
,,,Я спать
,,Я спать,Спокойной)
,Я спать,Спокойной),Удачной дороги
Я спать,Спокойной),Удачной дороги,Дома почти уже
Спокойной),Удачной дороги,Дома почти уже,Крутяк
,,,Все кто курит их капают 😀
,,,Всем похер
,,Всем похер,Кроме тебя
,Всем похер,Кроме тебя,И мне.
Всем похер,Кроме тебя,И мне.,"Нее, хотя бы пожелала бы мне сладких снов"
Кроме тебя,И мне.,"Нее, хотя бы пожелала бы мне сладких снов",Ужасных . 👀
И мне.,"Нее, хотя бы пожелала бы мне сладких снов",Ужасных . 👀,Ну и спасибо тебе
,,,Я не про то
,,,Я про то чем вирус лечить
,,Я про то чем вирус лечить,Святая вода
,Я про то чем вирус лечить,Святая вода,
Я про то чем вирус лечить,Святая вода,,Бл добавил себе👍😂
,,,"Были бы чэчэнцы, сказали бы для глаз тропикамид😂"
,,"Были бы чэчэнцы, сказали бы для глаз тропикамид😂","Знакомое….
Слышал когда-то, но не помню, что это 😃😃😃"
,,,Я язычник
,,Я язычник,"Ну вообще, окуметил и для лечения подходит"
,,,"Походу. Я давно ему это сказала , еще до тебя."
,,"Походу. Я давно ему это сказала , еще до тебя.",Поэтому он и соглашается)))
,"Походу. Я давно ему это сказала , еще до тебя.",Поэтому он и соглашается))),"Уже все ему это сказали , даже ты 
Может перевоспитаешь его ?"
"Походу. Я давно ему это сказала , еще до тебя.",Поэтому он и соглашается))),"Уже все ему это сказали , даже ты 
Может перевоспитаешь его ?","А я тут причем?))) Мне кажется, что здесь клиника)"
Поэтому он и соглашается))),"Уже все ему это сказали , даже ты 
Может перевоспитаешь его ?","А я тут причем?))) Мне кажется, что здесь клиника)","Его не вылечат ?
Значит надо баб предупредить остальных .
Чтоб не ведись на него."
,,,Шаболдень
,,Шаболдень,Кобелюшка
,,,Правда они стоят нормально
,,,Пока
,,Пока,😂
,Пока,😂,"Не , ну а чо"
,,,А кого вы хуясосите все время?
,,А кого вы хуясосите все время?,"Меня, присоединяйся"
,А кого вы хуясосите все время?,"Меня, присоединяйся",Не
А кого вы хуясосите все время?,"Меня, присоединяйся",Не,Очень даже зря
"Меня, присоединяйся",Не,Очень даже зря,"Да это вообще занятие веселое только первых пару минут, потом уныло. А тебя кроют давно, так что спасибо, но нет"
Не,Очень даже зря,"Да это вообще занятие веселое только первых пару минут, потом уныло. А тебя кроют давно, так что спасибо, но нет","Его не кроют, а любят!!!"
Очень даже зря,"Да это вообще занятие веселое только первых пару минут, потом уныло. А тебя кроют давно, так что спасибо, но нет","Его не кроют, а любят!!!","Аааа, это бдсм тема?"
,,,Воздух
,,,Всех по тихой
,,Всех по тихой,Это норм
,,😂,В голос
,,,"Солнце резко как то осветило мою мрачную комнату, значит время идти спать , хаха"
,,"Солнце резко как то осветило мою мрачную комнату, значит время идти спать , хаха",Еду
,,,У меня на окнах фольга
,,У меня на окнах фольга,Чтобы инопланетяне не ловили сигнал
,У меня на окнах фольга,Чтобы инопланетяне не ловили сигнал,😹😹😹😹
,,,Ебал ненавижу свет
,,,Я ночной зверь
,,Я ночной зверь,Я тоже и в спальне плотные шторы)
,Я ночной зверь,Я тоже и в спальне плотные шторы),Тоже закажу себе щас
Я ночной зверь,Я тоже и в спальне плотные шторы),Тоже закажу себе щас,"Я маску для сна ещё заказала, а пришла маска кошки бдсм"
Я тоже и в спальне плотные шторы),Тоже закажу себе щас,"Я маску для сна ещё заказала, а пришла маска кошки бдсм","Не люблю во сне на лице что то ,только перед сном"
Тоже закажу себе щас,"Я маску для сна ещё заказала, а пришла маска кошки бдсм","Не люблю во сне на лице что то ,только перед сном",😂😂😂
,,,С запечённый курочкой внутри?)
,,С запечённый курочкой внутри?),😂😂😂😂
,,,Плюс
,,Плюс,Хотя наверно повод есть
,,,"Эх….
А так хотелось чего-то новенького почитать"
,,"Эх….
А так хотелось чего-то новенького почитать",Поправки к УК почитай
,"Эх….
А так хотелось чего-то новенького почитать",Поправки к УК почитай,"Что-то веселое есть?
Или как всегда?"
"Эх….
А так хотелось чего-то новенького почитать",Поправки к УК почитай,"Что-то веселое есть?
Или как всегда?","ну, или программу телепередач"
,,,Новенькие
,,Новенькие,"Тю , не надо о еде. 
Я кушать хочу"
,Новенькие,"Тю , не надо о еде. 
Я кушать хочу",Вот и куда я жмала
,,,От вашего «любя» уже плакать хочется
,,От вашего «любя» уже плакать хочется,Ок. Молчу😔
,От вашего «любя» уже плакать хочется,Ок. Молчу😔,"Да и я помолчу, пожалуй….."
От вашего «любя» уже плакать хочется,Ок. Молчу😔,"Да и я помолчу, пожалуй…..","Все, я с тобой больше не разговариваю."
,,,😏😂
,,😏😂,Щас бы на лицо сесть
,,,Или позу 69
,,Или позу 69,Посредственная поза
,Или позу 69,Посредственная поза,Кому как
,,,А я люблю масочки на лице
,,А я люблю масочки на лице,А не вот это вот все
,А я люблю масочки на лице,А не вот это вот все,А на лицо садиться не люблю
А я люблю масочки на лице,А не вот это вот все,А на лицо садиться не люблю,"Такое себе,не сам получить,не партнёру доставить"
,,,"Передёрни, пройдет"
,,"Передёрни, пройдет",Атайди
,,,"Я вот теперь не пойму….
Пытаться мне поспать ещё часик до будильника на работу….
Или ну их нах эти мучения?…."
,,"Я вот теперь не пойму….
Пытаться мне поспать ещё часик до будильника на работу….
Или ну их нах эти мучения?….",Это русская рулетка
,,,"Что-то я только глаза открыл, а уже прям приуныл"
,,,"Фен в помощь, никаких мучений"
,,"Фен в помощь, никаких мучений",У меня вон розовенький лежит
,"Фен в помощь, никаких мучений",У меня вон розовенький лежит,"Розовый - результат некачественной реакции, не обольщайся)"
"Фен в помощь, никаких мучений",У меня вон розовенький лежит,"Розовый - результат некачественной реакции, не обольщайся)",Я про дайсон🌚
У меня вон розовенький лежит,"Розовый - результат некачественной реакции, не обольщайся)",Я про дайсон🌚,а я про...delongi
,,,Можешь встать норм
,,,Как сделать чтоб сопельки прошли
,,Как сделать чтоб сопельки прошли,"Таблетки и капли, таблетки и капли….."
,Как сделать чтоб сопельки прошли,"Таблетки и капли, таблетки и капли…..","Ага, уже"
Как сделать чтоб сопельки прошли,"Таблетки и капли, таблетки и капли…..","Ага, уже","Вставь клизьму в #опу и резко сядь на нее, сопли вылятят."
"Таблетки и капли, таблетки и капли…..","Ага, уже","Вставь клизьму в #опу и резко сядь на нее, сопли вылятят.",Ахаххаах
"Ага, уже","Вставь клизьму в #опу и резко сядь на нее, сопли вылятят.",Ахаххаах,"Бро , ты мне не бро ?"
"Вставь клизьму в #опу и резко сядь на нее, сопли вылятят.",Ахаххаах,"Бро , ты мне не бро ?",Почему это?
Ахаххаах,"Бро , ты мне не бро ?",Почему это?,"Этот пидр хуйню написал , ты зубы сушишь .
Ты чо ?"
"Бро , ты мне не бро ?",Почему это?,"Этот пидр хуйню написал , ты зубы сушишь .
Ты чо ?",Аххахаха блять😂😂😂
,,,Пошла спать. Всем чего-то там...
,,Пошла спать. Всем чего-то там...,Спокойной
,,,А можешь какашкой
,,,Никто не хочет высосать мне ?
,,Никто не хочет высосать мне ?,Выдолбить?
,Никто не хочет высосать мне ?,Выдолбить?,"У вас зрение плохое. 
Фары протрите ."
,,,Высморкаться
,,,"Бросаешь меня тут на произвол судьбы…
Ну-ну"
,,"Бросаешь меня тут на произвол судьбы…
Ну-ну",Сам меня послал. Вот я и пошла нахрен
,"Бросаешь меня тут на произвол судьбы…
Ну-ну",Сам меня послал. Вот я и пошла нахрен,Никого я никуда не посылал
"Бросаешь меня тут на произвол судьбы…
Ну-ну",Сам меня послал. Вот я и пошла нахрен,Никого я никуда не посылал,Ты злой и противный!!!
Сам меня послал. Вот я и пошла нахрен,Никого я никуда не посылал,Ты злой и противный!!!,"Это да…
Это факт"
Никого я никуда не посылал,Ты злой и противный!!!,"Это да…
Это факт",А как тебя хоть зовут?
Ты злой и противный!!!,"Это да…
Это факт",А как тебя хоть зовут?,Ёбобо
"Это да…
Это факт",А как тебя хоть зовут?,Ёбобо,А серьезно?
А как тебя хоть зовут?,Ёбобо,А серьезно?,Отгадаешь?
Ёбобо,А серьезно?,Отгадаешь?,Ты что Кракена выпускаешь?
А серьезно?,Отгадаешь?,Ты что Кракена выпускаешь?,"Первая буква Алекс, вторая андр"
Отгадаешь?,Ты что Кракена выпускаешь?,"Первая буква Алекс, вторая андр","Бляяя, вот это я тупик.... Я тебя переименовала... Сорри 😘💋💋"
Ты что Кракена выпускаешь?,"Первая буква Алекс, вторая андр","Бляяя, вот это я тупик.... Я тебя переименовала... Сорри 😘💋💋",
"Первая буква Алекс, вторая андр","Бляяя, вот это я тупик.... Я тебя переименовала... Сорри 😘💋💋",,Ну бывает)))
"Бляяя, вот это я тупик.... Я тебя переименовала... Сорри 😘💋💋",,Ну бывает))),"Ты ж вроде вчера не пила….
Или пила?"
,Ну бывает))),"Ты ж вроде вчера не пила….
Или пила?",Ни пела ни пила
Ну бывает))),"Ты ж вроде вчера не пила….
Или пила?",Ни пела ни пила,Полохо
"Ты ж вроде вчера не пила….
Или пила?",Ни пела ни пила,Полохо,Точно. Пьяненькая я на тебя лучше реагирую
Ни пела ни пила,Полохо,Точно. Пьяненькая я на тебя лучше реагирую,Ага….
Полохо,Точно. Пьяненькая я на тебя лучше реагирую,Ага….,Здесь два варианта пить или отказаться от тебя...
Точно. Пьяненькая я на тебя лучше реагирую,Ага….,Здесь два варианта пить или отказаться от тебя...,"Выбирай второй, не прогадаешь"
Ага….,Здесь два варианта пить или отказаться от тебя...,"Выбирай второй, не прогадаешь","Ок, сам предложил"
Здесь два варианта пить или отказаться от тебя...,"Выбирай второй, не прогадаешь","Ок, сам предложил","Похоже сегодня унылой 💩 буду я….))))
Вчера ты отдохнула от клоуничесвта в чате….
Сегодня я возьму выходной, пожалуй"
"Выбирай второй, не прогадаешь","Ок, сам предложил","Похоже сегодня унылой 💩 буду я….))))
Вчера ты отдохнула от клоуничесвта в чате….
Сегодня я возьму выходной, пожалуй","Отдыхай, унылая 💩"
"Ок, сам предложил","Похоже сегодня унылой 💩 буду я….))))
Вчера ты отдохнула от клоуничесвта в чате….
Сегодня я возьму выходной, пожалуй","Отдыхай, унылая 💩",Спасибо
"Похоже сегодня унылой 💩 буду я….))))
Вчера ты отдохнула от клоуничесвта в чате….
Сегодня я возьму выходной, пожалуй","Отдыхай, унылая 💩",Спасибо,Не за что. Цеплять не буду
"Отдыхай, унылая 💩",Спасибо,Не за что. Цеплять не буду,🤝
Спасибо,Не за что. Цеплять не буду,🤝,
,,,Спи
,,Спи,Ееееебать надо такую сделать и кошек обстреливать
,,,Как же дома хорошо
,,Как же дома хорошо,Даааа🥲
,,,Но вечером опять уёбен зе битте
,,Но вечером опять уёбен зе битте,+
,,,Хочу отучиться на кузнеца
,,Хочу отучиться на кузнеца,Тебе бы пошло
,,,"Не пишите мне .
Всего хорошего."
,,"Не пишите мне .
Всего хорошего.","Ну харе, это капля юмора с утра. Не обижайся"
,"Не пишите мне .
Всего хорошего.","Ну харе, это капля юмора с утра. Не обижайся","Иди нахуй .
Я просила по вежливому. 
Смотри чтоб в твое очко , чо то не прилетело .
Не обижайся"
"Не пишите мне .
Всего хорошего.","Ну харе, это капля юмора с утра. Не обижайся","Иди нахуй .
Я просила по вежливому. 
Смотри чтоб в твое очко , чо то не прилетело .
Не обижайся","Блеать, дамочка, попей воды холодной."
,,,"Качественный, некачественный, главное что работает норм💁🏼‍♀️
Сейчас хорошего то и не найти"
,,"Качественный, некачественный, главное что работает норм💁🏼‍♀️
Сейчас хорошего то и не найти",Есть хорошие места;)
,"Качественный, некачественный, главное что работает норм💁🏼‍♀️
Сейчас хорошего то и не найти",Есть хорошие места;),"Мне хороший 🥥 приносят, больше ничего и не надо
Остальное лежит и лежит, иногда угощаю всяких"
,,,Выражение охуенное
,,Выражение охуенное,"Понятно .
Иди дружи с этим , вафлером."
,Выражение охуенное,"Понятно .
Иди дружи с этим , вафлером.","Ты чего такая агрессивная с утра,ладно он там пизданул,я то причём?"
Выражение охуенное,"Понятно .
Иди дружи с этим , вафлером.","Ты чего такая агрессивная с утра,ладно он там пизданул,я то причём?","Я не агрессивная .
Я добрая и я болею .
Ты их нашуй слал. 
А тут ржешь ."
"Понятно .
Иди дружи с этим , вафлером.","Ты чего такая агрессивная с утра,ладно он там пизданул,я то причём?","Я не агрессивная .
Я добрая и я болею .
Ты их нашуй слал. 
А тут ржешь .","Бля, не пыли плиз. Поугарали немного, что обижаться и меня фаршмачить? Хватит ну."
,,,"Так этого я давно знаю
И ты кстати тоже
😂"
,,,"Дела не гуд,  колёса не прут"
,,"Дела не гуд,  колёса не прут",Это не те)
,"Дела не гуд,  колёса не прут",Это не те),Это Паша Техник
,,,"Оу-еее, я сержант"
,,,Недавно европейские ела
